race_code,race_date,st65,p6_12_n,p6_12_win,p6_12_makuri,p6_12_makurizashi,p6_12_attack,second_score,second_rank,gap,attack_potential,st_score,straight_score,ex_score,lap_score,mawari_score,first,second,third
20240911TMG01,2024-09-11,内側より下,43,0.0,0.0,0.0,0.0,30.0,3,2.0,7.0,3.0,4.0,5.0,4.0,3.0,1,5,6
20240911TMG02,2024-09-11,同じ,4,0.0,0.0,0.0,0.0,24.0,3,3.0,4.0,3.0,1.0,3.0,3.0,5.0,5,4,6
20240911TMG03,2024-09-11,内側より下,25,0.0,0.0,0.0,0.0,17.0,6,19.0,6.0,5.0,1.0,4.0,1.0,2.0,1,3,4
20240911TMG04,2024-09-11,内側より下,89,0.0,0.0,0.0,0.0,26.0,4,6.0,5.0,3.0,2.0,3.0,5.0,3.0,1,2,3
20240911TMG05,2024-09-11,内側より上,37,0.0,0.0,0.0,0.0,18.0,6,14.0,8.0,3.0,5.0,1.0,1.0,1.0,2,4,3
20240911TMG06,2024-09-11,内側より下,31,0.0,0.0,0.0,0.0,22.0,4,8.0,5.0,3.0,2.0,3.0,2.0,4.0,1,3,2
20240911TMG07,2024-09-11,内側より下,45,0.0,0.0,0.0,0.0,22.0,5,7.0,8.0,5.0,3.0,3.0,2.0,2.0,1,2,5
20240911TMG08,2024-09-11,内側より下,29,0.0,0.0,0.0,0.0,29.0,3,5.0,9.0,5.0,4.0,2.0,4.0,3.0,3,5,4
20240911TMG09,2024-09-11,内側より下,28,0.0,0.0,0.0,0.0,16.0,6,16.0,4.0,3.0,1.0,1.0,2.0,3.0,1,3,6
20240911TMG10,2024-09-11,内側より下,28,7.142857142857143,0.0,3.5714285714285716,3.5714285714285716,17.0,6,11.0,3.0,2.0,1.0,3.0,2.0,3.0,5,6,4
20240911TMG11,2024-09-11,内側より下,26,3.8461538461538463,0.0,0.0,0.0,19.0,5,15.0,4.0,3.0,1.0,2.0,1.0,5.0,1,3,2
20240911TMG12,2024-09-11,内側より上,34,5.882352941176471,0.0,2.9411764705882355,2.9411764705882355,22.0,4,10.0,10.0,5.0,5.0,3.0,1.0,1.0,5,4,3
20240912TMG01,2024-09-12,内側より下,25,0.0,0.0,0.0,0.0,26.0,3,3.0,7.0,2.0,5.0,4.0,3.0,2.0,3,1,6
20240912TMG02,2024-09-12,内側より下,24,4.166666666666667,0.0,0.0,0.0,34.0,2,2.0,10.0,5.0,5.0,3.0,5.0,3.0,4,1,6
20240912TMG03,2024-09-12,内側より上,38,0.0,0.0,0.0,0.0,18.0,5,20.0,7.0,3.0,4.0,3.0,1.0,1.0,2,1,4
